age,cohort,model_prop_f,model_prop_m
22,1995.0,0.8733552631578947,0.0
23,1995.0,0.912396694214876,0.0
24,1995.0,0.9363484087102177,0.0
25,1995.0,0.964765100671141,0.0
26,1995.0,0.96964586846543,0.0
27,1995.0,0.9761092150170648,0.0
28,1995.0,0.9794520547945206,0.0
29,1995.0,0.9879101899827288,0.0
30,1995.0,0.9947826086956522,0.0
12,1996.0,0.0304,0.00315955766192733
13,1996.0,0.09032258064516129,0.006339144215530904
14,1996.0,0.15559157212317667,0.00744047619047619
15,1996.0,0.24227642276422764,0.0
16,1996.0,0.37846655791190864,0.0
17,1996.0,0.49019607843137253,0.0
18,1996.0,0.5805921052631579,0.0
19,1996.0,0.6826446280991736,0.0
20,1996.0,0.7757475083056479,0.0
21,1996.0,0.830820770519263,0.0
22,1996.0,0.8686868686868687,0.0
23,1996.0,0.9044368600682594,0.0
24,1996.0,0.9312714776632303,0.0
25,1996.0,0.9518072289156626,0.0
26,1996.0,0.9670138888888888,0.0
27,1996.0,0.9736842105263158,0.0
28,1996.0,0.9789103690685413,0.0
29,1996.0,0.9840989399293286,0.0
30,1996.0,0.9910873440285205,0.0
12,1997.0,0.04739336492890995,0.0015600624024961
13,1997.0,0.09220985691573927,0.0014727540500736377
14,1997.0,0.14102564102564102,0.0
15,1997.0,0.2403225806451613,0.0
16,1997.0,0.3695299837925446,0.0
17,1997.0,0.498371335504886,0.0
18,1997.0,0.5905383360522023,0.0
19,1997.0,0.6896551724137931,0.0
20,1997.0,0.7529021558872305,0.0
21,1997.0,0.8122923588039868,0.0
22,1997.0,0.8516666666666667,0.0
23,1997.0,0.9021922428330523,0.0
24,1997.0,0.9269949066213922,0.0
25,1997.0,0.9536082474226805,0.0
26,1997.0,0.9653379549393414,0.0
27,1997.0,0.9756521739130435,0.0
28,1997.0,0.978984238178634,0.0
29,1997.0,0.982363315696649,0.0
30,1997.0,0.9911190053285968,0.0
12,1998.0,0.036923076923076927,0.0
13,1998.0,0.08837209302325581,0.0
14,1998.0,0.16018662519440124,0.0
15,1998.0,0.23208722741433022,0.0
16,1998.0,0.3640625,0.0
17,1998.0,0.5149606299212598,0.0
18,1998.0,0.6307448494453248,0.0
19,1998.0,0.7054140127388535,0.0
20,1998.0,0.7744,0.0
21,1998.0,0.833063209076175,0.0
22,1998.0,0.8729641693811075,0.0
23,1998.0,0.90625,0.0
24,1998.0,0.9351081530782029,0.0
25,1998.0,0.9565217391304348,0.0
26,1998.0,0.957983193277311,0.0
27,1998.0,0.9747048903878583,0.0
28,1998.0,0.9830220713073005,0.0
29,1998.0,0.9931506849315068,0.0
30,1998.0,0.9965457685664939,0.0
12,1999.0,0.05198776758409786,0.0
13,1999.0,0.09523809523809523,0.0
14,1999.0,0.17746913580246915,0.0
15,1999.0,0.23875968992248062,0.0
16,1999.0,0.3660436137071651,0.0
17,1999.0,0.4835680751173709,0.0
18,1999.0,0.5864779874213837,0.0
19,1999.0,0.6724409448818898,0.0
20,1999.0,0.7492063492063492,0.0
21,1999.0,0.8272,0.0
22,1999.0,0.8725806451612903,0.0
23,1999.0,0.9039087947882736,0.0
24,1999.0,0.9292763157894737,0.0
25,1999.0,0.9519867549668874,0.0
26,1999.0,0.9667221297836939,0.0
27,1999.0,0.9816666666666667,0.0
28,1999.0,0.9899497487437185,0.0
29,1999.0,0.9932546374367622,0.0
30,1999.0,0.9948630136986302,0.0
12,2000.0,0.049062049062049064,0.0
13,2000.0,0.1,0.0
14,2000.0,0.18115942028985507,0.0
15,2000.0,0.2521865889212828,0.0
16,2000.0,0.3645680819912152,0.0
17,2000.0,0.5014792899408284,0.0
18,2000.0,0.6068759342301944,0.0
19,2000.0,0.6981981981981982,0.0
20,2000.0,0.7771084337349398,0.0
21,2000.0,0.8393939393939394,0.0
22,2000.0,0.882262996941896,0.0
23,2000.0,0.9292307692307692,0.0
24,2000.0,0.9506933744221879,0.0
25,2000.0,0.968944099378882,0.0
26,2000.0,0.9797507788161994,0.0
27,2000.0,0.9905808477237049,0.0
28,2000.0,0.9936708860759493,0.0
29,2000.0,0.9968102073365231,0.0
30,2000.0,0.9983948635634029,0.0
12,2001.0,0.047895500725689405,0.0
13,2001.0,0.07871720116618076,0.0
14,2001.0,0.15835777126099707,0.0
15,2001.0,0.24963289280469897,0.0
16,2001.0,0.3707533234859675,0.0
17,2001.0,0.5214814814814814,0.0
18,2001.0,0.624441132637854,0.0
19,2001.0,0.718796992481203,0.0
20,2001.0,0.7851739788199698,0.0
21,2001.0,0.8343465045592705,0.0
22,2001.0,0.8788343558282209,0.0
23,2001.0,0.913312693498452,0.0
24,2001.0,0.937984496124031,0.0
25,2001.0,0.9626168224299065,0.0
26,2001.0,0.9716535433070866,0.0
27,2001.0,0.9778129952456418,0.0
28,2001.0,0.9856,0.0
29,2001.0,0.9871175523349437,0.0
30,2001.0,0.990228013029316,0.0
12,2002.0,0.023743016759776536,0.0
13,2002.0,0.07142857142857142,0.0
14,2002.0,0.13268156424581007,0.0
15,2002.0,0.23314606741573032,0.0
16,2002.0,0.3455571227080395,0.0
17,2002.0,0.4915014164305949,0.0
18,2002.0,0.61,0.0
19,2002.0,0.6950867052023122,0.0
20,2002.0,0.751453488372093,0.0
21,2002.0,0.8111273792093704,0.0
22,2002.0,0.8657817109144543,0.0
23,2002.0,0.8905325443786982,0.0
24,2002.0,0.9183976261127597,0.0
25,2002.0,0.9448584202682563,0.0
26,2002.0,0.962178517397882,0.0
27,2002.0,0.9649390243902439,0.0
28,2002.0,0.9722650231124808,0.0
29,2002.0,0.9813664596273292,0.0
30,2002.0,0.9874015748031496,0.0
