scenario,year,value,metric,stratum,cohort,stat
S_infant_full,2044,14.85858858569009,asr_cancer_incidence,all,whole,median
S_infant_full,2045,14.355602941079493,asr_cancer_incidence,all,whole,median
S_infant_full,2046,14.009129281848884,asr_cancer_incidence,all,whole,median
S_infant_full,2047,13.58969383236586,asr_cancer_incidence,all,whole,median
S_infant_full,2048,13.0192161095486,asr_cancer_incidence,all,whole,median
S_infant_full,2049,12.600149412830524,asr_cancer_incidence,all,whole,median
S_infant_full,2050,12.07873321016938,asr_cancer_incidence,all,whole,median
S_infant_full,2051,11.914593615092592,asr_cancer_incidence,all,whole,median
S_infant_full,2052,11.81068182707144,asr_cancer_incidence,all,whole,median
S_infant_full,2053,11.031856503582905,asr_cancer_incidence,all,whole,median
S_infant_full,2054,10.788563785791876,asr_cancer_incidence,all,whole,median
S_infant_full,2055,10.55602448012528,asr_cancer_incidence,all,whole,median
S_infant_full,2056,9.79045115394278,asr_cancer_incidence,all,whole,median
S_infant_full,2057,9.51555699289781,asr_cancer_incidence,all,whole,median
S_infant_full,2058,8.922155778518787,asr_cancer_incidence,all,whole,median
S_infant_full,2059,9.00137323527205,asr_cancer_incidence,all,whole,median
S_infant_full,2060,8.63928498620709,asr_cancer_incidence,all,whole,median
S_infant_full,2061,8.089123604748542,asr_cancer_incidence,all,whole,median
S_infant_full,2062,8.26285894114134,asr_cancer_incidence,all,whole,median
S_infant_full,2063,7.557497085321082,asr_cancer_incidence,all,whole,median
S_infant_full,2064,7.32047173582839,asr_cancer_incidence,all,whole,median
S_infant_full,2065,7.24502825114796,asr_cancer_incidence,all,whole,median
S_infant_full,2066,6.702162492698739,asr_cancer_incidence,all,whole,median
S_infant_full,2067,6.763255490028038,asr_cancer_incidence,all,whole,median
S_infant_full,2068,6.214047864693079,asr_cancer_incidence,all,whole,median
S_infant_full,2069,6.146305986296921,asr_cancer_incidence,all,whole,median
S_infant_full,2070,5.730671645857373,asr_cancer_incidence,all,whole,median
S_infant_full,2071,5.582710647882024,asr_cancer_incidence,all,whole,median
S_infant_full,2072,5.316861590375465,asr_cancer_incidence,all,whole,median
S_infant_full,2073,5.106208413785378,asr_cancer_incidence,all,whole,median
S_infant_full,2074,5.199767792327702,asr_cancer_incidence,all,whole,median
S_infant_full,2075,5.197556193057552,asr_cancer_incidence,all,whole,median
S_infant_full,2076,4.6077221864119915,asr_cancer_incidence,all,whole,median
S_infant_full,2077,4.6255860947168825,asr_cancer_incidence,all,whole,median
S_infant_full,2078,4.425381936262632,asr_cancer_incidence,all,whole,median
S_infant_full,2079,4.607913699786033,asr_cancer_incidence,all,whole,median
S_infant_full,2080,4.456878914731258,asr_cancer_incidence,all,whole,median
S_infant_full,2081,3.9220172339138895,asr_cancer_incidence,all,whole,median
S_infant_full,2082,4.3705718682863965,asr_cancer_incidence,all,whole,median
S_infant_full,2083,4.363684264441045,asr_cancer_incidence,all,whole,median
S_infant_full,2084,4.13609523802738,asr_cancer_incidence,all,whole,median
S_infant_full,2085,3.8316657105375738,asr_cancer_incidence,all,whole,median
S_infant_full,2086,4.129212302789623,asr_cancer_incidence,all,whole,median
S_infant_full,2087,3.9406596301413424,asr_cancer_incidence,all,whole,median
S_infant_full,2088,4.010223840713217,asr_cancer_incidence,all,whole,median
S_infant_full,2089,3.894815996477753,asr_cancer_incidence,all,whole,median
S_infant_full,2090,4.170092700281239,asr_cancer_incidence,all,whole,median
S_infant_full,2091,4.048411711116095,asr_cancer_incidence,all,whole,median
S_infant_full,2092,3.864775624895673,asr_cancer_incidence,all,whole,median
S_infant_full,2093,3.854041131562601,asr_cancer_incidence,all,whole,median
S_infant_full,2094,3.8626374743873697,asr_cancer_incidence,all,whole,median
S_infant_full,2095,4.049817052856206,asr_cancer_incidence,all,whole,median
S_infant_full,2096,3.983423941988485,asr_cancer_incidence,all,whole,median
S_infant_full,2097,4.30841430871251,asr_cancer_incidence,all,whole,median
S_infant_full,2098,4.303694112308506,asr_cancer_incidence,all,whole,median
S_infant_full,2099,4.1419629438064645,asr_cancer_incidence,all,whole,median
S_infant_full,2100,4.133408067893739,asr_cancer_incidence,all,whole,median
S_sq,2020,19.168584736426613,asr_cancer_incidence,all,whole,median
S_sq,2021,19.89828347437014,asr_cancer_incidence,all,whole,median
S_sq,2022,20.068763286659056,asr_cancer_incidence,all,whole,median
