scenario,year,metric,stratum,cohort,stat,value
S_sq_screenup_or5,2030,new_cancers,all,pre2015_group,mean,15358.730643338662
S_sq_screenup_or5,2031,new_cancers,all,pre2015_group,mean,15529.686154288756
S_sq_screenup_or5,2032,new_cancers,all,pre2015_group,mean,15812.134068733829
S_sq_screenup_or5,2033,new_cancers,all,pre2015_group,mean,15908.761005487439
S_sq_screenup_or5,2034,new_cancers,all,pre2015_group,mean,16027.686541081914
S_sq_screenup_or5,2035,new_cancers,all,pre2015_group,mean,16381.985447010666
S_sq_screenup_or5,2036,new_cancers,all,pre2015_group,mean,16624.79156548336
S_sq_screenup_or5,2037,new_cancers,all,pre2015_group,mean,16550.463168499682
S_sq_screenup_or5,2038,new_cancers,all,pre2015_group,mean,16602.49299617796
S_sq_screenup_or5,2039,new_cancers,all,pre2015_group,mean,16429.06016833427
S_sq_screenup_or5,2040,new_cancers,all,pre2015_group,mean,16899.806790860945
S_sq_screenup_or5,2041,new_cancers,all,pre2015_group,mean,17018.73223784902
S_sq_screenup_or5,2042,new_cancers,all,pre2015_group,mean,16597.53780121688
S_sq_screenup_or5,2043,new_cancers,all,pre2015_group,mean,15839.387833000306
S_sq_screenup_or5,2044,new_cancers,all,pre2015_group,mean,16250.671938781223
S_sq_screenup_or5,2045,new_cancers,all,pre2015_group,mean,16438.970587791893
S_sq_screenup_or5,2046,new_cancers,all,pre2015_group,mean,15841.865445248579
S_sq_screenup_or5,2047,new_cancers,all,pre2015_group,mean,15507.387614518824
S_sq_screenup_or5,2048,new_cancers,all,pre2015_group,mean,15088.670819670428
S_sq_screenup_or5,2049,new_cancers,all,pre2015_group,mean,15096.103538273377
S_sq_screenup_or5,2050,new_cancers,all,pre2015_group,mean,14568.371538681726
S_sq_screenup_or5,2051,new_cancers,all,pre2015_group,mean,14637.74506559447
S_sq_screenup_or5,2052,new_cancers,all,pre2015_group,mean,13792.878609617383
S_sq_screenup_or5,2053,new_cancers,all,pre2015_group,mean,13423.714089269924
S_sq_screenup_or5,2054,new_cancers,all,pre2015_group,mean,13319.65425670056
S_sq_screenup_or5,2055,new_cancers,all,pre2015_group,mean,13406.370803532009
S_sq_screenup_or5,2056,new_cancers,all,pre2015_group,mean,12618.489488336152
S_sq_screenup_or5,2057,new_cancers,all,pre2015_group,mean,12189.862274030127
S_sq_screenup_or5,2058,new_cancers,all,pre2015_group,mean,11922.279944468295
S_sq_screenup_or5,2059,new_cancers,all,pre2015_group,mean,11577.891576139042
S_sq_screenup_or5,2060,new_cancers,all,pre2015_group,mean,11327.652576618326
S_sq_screenup_or5,2061,new_cancers,all,pre2015_group,mean,10624.010077863775
S_sq_screenup_or5,2062,new_cancers,all,pre2015_group,mean,10163.173756652852
S_sq_screenup_or5,2063,new_cancers,all,pre2015_group,mean,10012.039261830818
S_sq_screenup_or5,2064,new_cancers,all,pre2015_group,mean,9875.77041096296
S_sq_screenup_or5,2065,new_cancers,all,pre2015_group,mean,9305.919106524792
S_sq_screenup_or5,2066,new_cancers,all,pre2015_group,mean,9085.41145398336
S_sq_screenup_or5,2067,new_cancers,all,pre2015_group,mean,8827.739514343686
S_sq_screenup_or5,2068,new_cancers,all,pre2015_group,mean,8376.81368642906
